Zipcode,Full address,Frame id,City,Monthly impressions,Publisher,Venue types,Latitude,Longitude,Country
31003,"Av. de Zaragoza, 24, 31003 Pamplona, Navarra, Spain",ES-PAM-DD-08032.D1.01,Pamplona,278206,JCDecaux - ES,['outdoor.urban_panels'],42.8061439,-1.6445939,ES
31007,"C. Esquíroz, 14, 31007 Pamplona, Navarra, Spain",ES-PAM-DD-08005.D1.01,Pamplona,153575,JCDecaux - ES,['outdoor.urban_panels'],42.8079656,-1.6492697,ES
31004,"C. del Monte Monjardín, 31004 Pamplona, Navarra, Spain",ES-PAM-DD-08035.D1.01,Pamplona,51876,JCDecaux - ES,['outdoor.urban_panels'],42.808225,-1.6332055,ES
31008,"C. de Acella, 19, 31008 Pamplona, Navarra, Spain",ES-PAM-DD-08042.D1.01,Pamplona,21254,JCDecaux - ES,['outdoor.urban_panels'],42.8092592,-1.6604375,ES
31003,"C. de San Fermín, 42, 31003 Pamplona, Navarra, Spain",ES-PAM-DD-08004.D1.01,Pamplona,72756,JCDecaux - ES,['outdoor.urban_panels'],42.8096303,-1.6431444,ES
31004,"Pl. de La Libertad, 4, 31004 Pamplona, Navarra, Spain",ES-PAM-DD-08036.D1.01,Pamplona,28279,JCDecaux - ES,['outdoor.urban_panels'],42.8098313,-1.6363608,ES
31008,"Pl. de Pedro de Axular, 1, 31008 Pamplona, Navarra, Spain",ES-PAM-DD-08051.D1.01,Pamplona,56252,JCDecaux - ES,['outdoor.urban_panels'],42.810411,-1.6638057,ES
31008,"Av. de Pío XII, 31008 Pamplona, Navarra, Spain",ES-PAM-DD-08006.D1.01,Pamplona,165798,JCDecaux - ES,['outdoor.urban_panels'],42.8105291,-1.6568748,ES
31008,"Av. de Barañáin, 17, 31008 Pamplona, Navarra, Spain",ES-PAM-DD-08008.D1.01,Pamplona,56252,JCDecaux - ES,['outdoor.urban_panels'],42.8115987,-1.6628107,ES
28003,"C. de Ponzano, 85, 28003 Madrid, Spain",hq1QV:566600848,Madrid,143931.4286,TuMedio Spain,['retail.parking_garages'],40.44455,-3.698944,ES
28003,"C. de Ponzano, 85, 28003 Madrid, Spain",hq1QV:566604639,Madrid,165634.2857,TuMedio Spain,['retail.parking_garages'],40.44455,-3.698944,ES
50003,"Av. de la Cdad. de Soria, 50003 Zaragoza, Spain",ES-ZAR-DD-01187.D1.01,Zaragoza,105551,JCDecaux - ES,['outdoor.urban_panels'],"416,569,759",-0.9015902,ES
20012,"Mandasko Dukearen Pasealekua, nº3, 1ºD, 20012 San Sebastián, Gipuzkoa, Spain",ES-SSB-DD-08132.D1.01,San Sebastián,54194,JCDecaux - ES,['outdoor.urban_panels'],43.3200908,-1.9740096,ES
