Zipcode,Frame id,Full address,Name,City,Monthly impressions,Publisher,Type,Subtype,Venue types,SSP,Media,Screen,Latitude,Longitude,Administrative level 1,Administrative level 2,Country,Frame resolution,Min duration,Max duration
28850,ES-COA-DD-00003.D1.01,"Vía sin nombre, 28850, Madrid, Spain",Frame Alone,,109451.0,JCDecaux - ES,DIGITALCC-MUPI,DIGITALCC-MUPI,['retail.malls'],VIOOH_ES,digital,1,404.708.321,-34.439.161,MD,M,ES,1080x1920,,10.0
28850,ES-COA-DD-00002.D2.02,"Vía sin nombre, 28850, Madrid, Spain",Frame Alone,,109451.0,JCDecaux - ES,DIGITALCC-MUPI,DIGITALCC-MUPI,['retail.malls'],VIOOH_ES,digital,1,404.708.321,-34.439.161,MD,M,ES,1080x1920,,10.0
28850,ES-COA-DD-00002.D1.01,"Vía sin nombre, 28850, Madrid, Spain",Frame Alone,,109451.0,JCDecaux - ES,DIGITALCC-MUPI,DIGITALCC-MUPI,['retail.malls'],VIOOH_ES,digital,1,404.708.321,-34.439.161,MD,M,ES,1080x1920,,10.0
28850,ES-COA-DD-00001.D2.02,"Vía sin nombre, 28850, Madrid, Spain",Frame Alone,,109451.0,JCDecaux - ES,DIGITALCC-MUPI,DIGITALCC-MUPI,['retail.malls'],VIOOH_ES,digital,1,404.708.321,-34.439.161,MD,M,ES,1080x1920,,10.0
28850,ES-COA-DD-00001.D1.01,"Vía sin nombre, 28850, Madrid, Spain",Frame Alone,,109451.0,JCDecaux - ES,DIGITALCC-MUPI,DIGITALCC-MUPI,['retail.malls'],VIOOH_ES,digital,1,404.708.321,-34.439.161,MD,M,ES,1080x1920,,10.0
28850,ES-COA-DD-00005.D2.02,"Vía sin nombre, 28850, Madrid, Spain",Frame Alone,,109451.0,JCDecaux - ES,DIGITALCC-MUPI,DIGITALCC-MUPI,['retail.malls'],VIOOH_ES,digital,1,404.708.321,-34.439.161,MD,M,ES,1080x1920,,10.0
28046,ES-MAD-AB-03977.D1.01,"P.º de la Castellana, 259C, 28046 Madrid, Spain",nan,Madrid,386910.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,404.781.418,-36.863.528,MD,M,ES,1080x1920,,10.0
28046,ES-MAD-AB-03976.D1.01,"P.º de la Castellana, 259C, 28046 Madrid, Spain",nan,Madrid,399870.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,404.781.418,-36.863.528,MD,M,ES,1080x1920,,10.0
26006,ES-LOG-DD-00019.D2.01,"Av. Zaragoza, 8, 26006 Logroño, La Rioja, Spain",Frame Alone,Logroño,95364.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,424.610.106,-24.214.296,RI,LO,ES,1080x1920,,10.0
26005,ES-LOG-KI-01008.D2.01,"C. Marqués de Murrieta, 27, 26005 Logroño, La Rioja, Spain",Frame Alone,Logroño,51820.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,4.246.498.709.999.990,-24.551.028,RI,LO,ES,1080x1920,,10.0
26001,ES-LOG-DD-00012.D2.01,"C. Portales, 14, 26001 Logroño, La Rioja, Spain",Frame Alone,Logroño,13093.0,JCDecaux - ES,DIGITALSF-MUPI,DIGITALSF-MUPI,['outdoor.urban_panels'],VIOOH_ES,digital,1,42.466.516,-24.446.673,RI,LO,ES,1080x1920,,10.0
